Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Mika,Partanen,1,HIFK U16,10,2,3,5,0.50,22,1,2006-2007,2.0
Mika,Mörsky,1,Blues U16,7,1,4,5,0.71,6,1,2006-2007,1.0
Kai,Lehtinen,0,Blues U16,7,0,3,3,0.43,8,1,2006-2007,1.0
Joni,Karjalainen,1,HIFK U16,0,0,0,0,0.00,0,1,2006-2007,2.0
Markus,Korkiakoski,1,Kärpät U16,13,7,18,25,1.92,32,0,2007-2008,4.0
Miko,Lahti,1,TPS U16,13,11,11,22,1.69,12,0,2007-2008,5.0
Gregor,Husko,1,TPS U16,13,6,14,20,1.54,2,0,2007-2008,5.0
Jose,Sneck,1,Jokerit U16,13,10,9,19,1.46,8,0,2007-2008,2.0
Kai,Petäjäkangas,1,Kärpät U16,13,9,9,18,1.39,4,0,2007-2008,4.0
Petteri,Halinen,1,Blues U16,5,6,12,18,3.60,0,0,2007-2008,1.0
Janne,Kivilahti,1,Jokerit U16,13,6,11,17,1.31,8,0,2007-2008,2.0
Juuso,Tähtinen,1,Jokerit U16,13,9,6,15,1.15,14,0,2007-2008,2.0
Jonne,Juutilainen,1,Jokerit U16,12,6,8,14,1.17,4,0,2007-2008,2.0
Niklas,Haikarainen,1,Jokerit U16,13,5,9,14,1.08,18,0,2007-2008,2.0
Janne,Pälve,0,Kärpät U16,13,1,13,14,1.08,18,0,2007-2008,4.0
Niko,Väätäinen,1,Jokerit U16,13,8,4,12,0.92,2,0,2007-2008,2.0
Rasmus,Alvik,1,Blues U16,13,6,6,12,0.92,14,0,2007-2008,1.0
Iiro,Tolonen,1,Blues U16,13,5,7,12,0.92,2,0,2007-2008,1.0
Ville,Rantanen,1,Blues U16,13,4,8,12,0.92,2,0,2007-2008,1.0
Aleksi,Niemitalo,1,Kärpät U16,9,2,10,12,1.33,4,0,2007-2008,4.0
Oula,Uski,1,Kärpät U16,13,6,4,10,0.77,6,0,2007-2008,4.0
Vesa,Heikkinen,0,Kärpät U16,13,4,6,10,0.77,18,0,2007-2008,4.0
Olli-Pekka,Viitaniemi,0,TPS U16,13,3,7,10,0.77,8,0,2007-2008,5.0
Mikael,Mild,1,Jokerit U16,12,1,8,9,0.75,4,0,2007-2008,2.0
Tomi,Roukala,1,Jokerit U16,11,4,4,8,0.73,2,0,2007-2008,2.0
Joni,Kallio,1,Blues U16,12,4,4,8,0.67,6,0,2007-2008,1.0
Toni,Nieminen,1,Blues U16,13,4,4,8,0.62,0,0,2007-2008,1.0
Micke,Alho,1,Jokerit U16,13,4,4,8,0.62,0,0,2007-2008,2.0
Roni,Kanerva,1,Blues U16,12,3,5,8,0.67,28,0,2007-2008,1.0
Roope,Äikäs,0,TPS U16,13,3,5,8,0.62,16,0,2007-2008,5.0
Joni,Juutinen,0,Jokerit U16,12,2,6,8,0.67,12,0,2007-2008,2.0
Aleksi,Pappila,1,Blues U16,13,2,6,8,0.62,8,0,2007-2008,1.0
Petteri,Poteri,0,Jokerit U16,13,2,5,7,0.54,10,0,2007-2008,2.0
Joni,Voutilainen,1,Jokerit U16,13,4,2,6,0.46,4,0,2007-2008,2.0
Martti,Kuusvuori,1,TPS U16,11,3,3,6,0.55,16,0,2007-2008,5.0
Robin,Saari,0,Blues U16,13,3,3,6,0.46,10,0,2007-2008,1.0
