Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Jaakko,Rakkolainen,1,Lukko U16,27,3,7,10,0.37,22,0,2009-2010,14.0
Vili,Korkiakoski,0,KalPa U16,24,2,8,10,0.42,52,0,2009-2010,9.0
Heikki,Tyni,1,HPK U16,27,1,9,10,0.37,2,0,2009-2010,10.0
Herman,Ulander,0,HIFK U16,25,0,10,10,0.40,12,0,2009-2010,1.0
Jani,Sivonen,1,Kärpät U16,25,7,2,9,0.36,24,0,2009-2010,6.0
Henri,Hokkala,1,JYP U16,7,6,3,9,1.29,12,0,2009-2010,8.0
Niko,Hirvonen,1,Jokipojat U16,25,6,3,9,0.36,34,0,2009-2010,13.0
Tomi,Mäkinen,1,Tappara U16,22,5,4,9,0.41,0,0,2009-2010,2.0
Lauri,Silvan,0,HPK U16,22,5,4,9,0.41,10,0,2009-2010,10.0
Artturi,Rouhiainen,0,Jokipojat U16,18,4,5,9,0.50,50,0,2009-2010,13.0
Topias,Olli,1,KalPa U16,24,4,5,9,0.38,31,0,2009-2010,9.0
Miska,Auria,1,HIFK U16,13,3,6,9,0.69,18,0,2009-2010,1.0
Joakim,Schrey,0,Ässät U16,23,3,6,9,0.39,24,0,2009-2010,7.0
Petro,Isoaho,1,Ilves U16,27,3,6,9,0.33,6,0,2009-2010,11.0
Iikka,Luosa,0,Ilves U16,10,2,7,9,0.90,10,0,2009-2010,11.0
Jere,Rantala,0,Lukko U16,13,2,7,9,0.69,22,0,2009-2010,14.0
Sebastian,Kauppila,0,Kärpät U16,25,2,7,9,0.36,58,0,2009-2010,6.0
Mika,Ilvonen,0,Blues U16,25,0,9,9,0.36,8,0,2009-2010,5.0
Juuso,Sahlman,1,Jokipojat U16,27,7,1,8,0.30,44,0,2009-2010,13.0
Vili,Koivisto,1,Ilves U16,23,6,2,8,0.35,72,0,2009-2010,11.0
Santeri,Martiskainen,0,Jokipojat U16,15,4,4,8,0.53,20,0,2009-2010,13.0
Samuli,Kanerva,1,TPS U16,9,3,5,8,0.89,0,0,2009-2010,4.0
Mikko,Jaakkola,1,Ilves U16,13,2,6,8,0.62,2,0,2009-2010,11.0
Kim,Miettinen,0,Kiekko-Vantaa U16,23,2,6,8,0.35,46,0,2009-2010,12.0
Teemu,Holttinen,1,Jokipojat U16,25,2,6,8,0.32,12,0,2009-2010,13.0
Samuel,Salmivirta,0,HIFK U16,25,1,7,8,0.32,20,0,2009-2010,1.0
Mikko,Suhonen,0,Lukko U16,27,1,7,8,0.30,12,0,2009-2010,14.0
Aku,Palsola,0,JYP U16,11,6,1,7,0.64,2,0,2009-2010,8.0
Markus,Immonen,1,KalPa U16,21,6,1,7,0.33,6,0,2009-2010,9.0
Joni,Piipponen,1,Kiekko-Vantaa U16,25,4,3,7,0.28,8,0,2009-2010,12.0
Ville,Tenosalmi,1,JYP U16,26,4,3,7,0.27,28,0,2009-2010,8.0
Tuomas,Hovi,1,Lukko U16,27,4,3,7,0.26,0,0,2009-2010,14.0
Tomi,Järviö,0,Ilves U16,14,3,4,7,0.50,6,0,2009-2010,11.0
Miikka,Huotari,1,Jokerit U16,16,3,4,7,0.44,4,0,2009-2010,3.0
Ville,Kekkonen,0,Jokipojat U16,25,3,4,7,0.28,18,0,2009-2010,13.0
Jesse,Nylander,0,Ilves U16,27,3,4,7,0.26,6,0,2009-2010,11.0
Ville,Suokas,1,JYP U16,19,2,5,7,0.37,2,0,2009-2010,8.0
Aleksi,Saadetdin,0,Tappara U16,27,2,5,7,0.26,4,0,2009-2010,2.0
Kimmo,Jakosuo,1,JYP U16,21,0,7,7,0.33,10,0,2009-2010,8.0
Petteri,Malm,1,Kiekko-Vantaa U16,22,0,7,7,0.32,4,0,2009-2010,12.0
Teemu,Räisänen,0,JYP U16,17,4,2,6,0.35,24,0,2009-2010,8.0
Arttu,Luusuaniemi,1,Kärpät U16,10,3,3,6,0.60,8,0,2009-2010,6.0
Teemu,Nissinen,1,Jokipojat U16,10,3,3,6,0.60,22,0,2009-2010,13.0
Ville,Salminen,1,Ässät U16,22,3,3,6,0.27,16,0,2009-2010,7.0
Miro,Skinnarla,1,Lukko U16,23,3,3,6,0.26,42,0,2009-2010,14.0
Aapeli,Pienimaa,1,JYP U16,17,2,4,6,0.35,4,0,2009-2010,8.0
Miika,Korhonen,0,Jokerit U16,17,2,4,6,0.35,6,0,2009-2010,3.0
Arttu,Koivula,0,Tappara U16,23,2,4,6,0.26,24,0,2009-2010,2.0
Joni,Törrö,0,Ilves U16,24,2,4,6,0.25,40,0,2009-2010,11.0
Aleksi,Tuomisto,0,HPK U16,17,1,5,6,0.35,86,0,2009-2010,10.0
Joni,Muranen,0,Jokipojat U16,25,1,5,6,0.24,20,0,2009-2010,13.0
Tatu,Rönkkö,1,KalPa U16,18,3,2,5,0.28,34,0,2009-2010,9.0
Joonas,Kantokorpi,1,Jokerit U16,13,2,3,5,0.39,2,0,2009-2010,3.0
Niko,Ilomäki,0,JYP U16,25,2,3,5,0.20,48,0,2009-2010,8.0
Aleksi,Knuuttila,1,HPK U16,27,2,3,5,0.19,10,0,2009-2010,10.0
Nino,Jetsu,1,KalPa U16,12,1,4,5,0.42,0,0,2009-2010,9.0
Aki,Sauso,1,Jokerit U16,17,1,4,5,0.29,4,0,2009-2010,3.0
Veli-Matti,Salo,0,Blues U16,24,1,4,5,0.21,8,0,2009-2010,5.0
Atte,Pyky,0,Kärpät U16,24,1,4,5,0.21,22,0,2009-2010,6.0
Jimi,Kuronen,0,Jokerit U16,18,0,5,5,0.28,6,0,2009-2010,3.0
Riku,Kornilov,0,HPK U16,27,0,5,5,0.19,32,0,2009-2010,10.0
Valtteri,Miettinen,1,TPS U16,25,4,0,4,0.16,14,0,2009-2010,4.0
Mikko,Suomalainen,1,Jokipojat U16,3,2,2,4,1.33,26,0,2009-2010,13.0
Niko,Heikkinen,0,Kärpät U16,12,2,2,4,0.33,18,0,2009-2010,6.0
Ville,Huhta,1,HPK U16,13,2,2,4,0.31,4,0,2009-2010,10.0
Teemu,Varis,1,JYP U16,18,2,2,4,0.22,2,0,2009-2010,8.0
Lassi,Louhelainen,1,Jokipojat U16,19,2,2,4,0.21,24,0,2009-2010,13.0
Matias,Niemenmaa,0,Tappara U16,26,2,2,4,0.15,26,0,2009-2010,2.0
Sakari,Tervasmaa,0,Blues U16,10,1,3,4,0.40,41,0,2009-2010,5.0
Eero,Korhonen,1,KalPa U16,16,1,3,4,0.25,2,0,2009-2010,9.0
Jerry,Toivonen,1,Jokerit U16,16,1,3,4,0.25,4,0,2009-2010,3.0
Joni,Rekola,0,JYP U16,16,1,3,4,0.25,8,0,2009-2010,8.0
Tuomas,Voipio,0,Ässät U16,24,1,3,4,0.17,4,0,2009-2010,7.0
Riku,Pulkkanen,0,KalPa U16,9,0,4,4,0.44,2,0,2009-2010,9.0
Roope,Rintanen,1,Lukko U16,24,0,4,4,0.17,20,0,2009-2010,14.0
Joni,Tikkanen,0,Lukko U16,25,0,4,4,0.16,36,0,2009-2010,14.0
Henri,Törnwall,0,Blues U16,5,2,1,3,0.60,2,0,2009-2010,5.0
Mikko,Pouta,0,JYP U16,16,2,1,3,0.19,24,0,2009-2010,8.0
Joel,Närhi,1,Kiekko-Vantaa U16,17,2,1,3,0.18,8,0,2009-2010,12.0
Arttu,Saariketo,0,Kiekko-Vantaa U16,19,2,1,3,0.16,12,0,2009-2010,12.0
Niko,Landgren,0,Ilves U16,6,1,2,3,0.50,10,0,2009-2010,11.0
Miko,Leivo,0,Jokerit U16,8,1,2,3,0.38,4,0,2009-2010,3.0
Joel,Oksanen,1,Blues U16,13,1,2,3,0.23,16,0,2009-2010,5.0
Aleksi,Tiitinen,0,JYP U16,15,1,2,3,0.20,2,0,2009-2010,8.0
Jere,Luostarinen,0,Kiekko-Vantaa U16,22,1,2,3,0.14,14,0,2009-2010,12.0
Miro,Nieminen,1,Kiekko-Vantaa U16,27,1,2,3,0.11,2,0,2009-2010,12.0
Tuure,Nuotio,0,Lukko U16,27,1,2,3,0.11,20,0,2009-2010,14.0
Mikael,Vihriälä,1,Tappara U16,7,0,3,3,0.43,0,0,2009-2010,2.0
Arttu,Mäenpää,0,Ilves U16,12,0,3,3,0.25,4,0,2009-2010,11.0
Noel,Nurmisto,1,Tappara U16,15,0,3,3,0.20,18,0,2009-2010,2.0
Petteri,Sammaljärvi,1,Ässät U16,19,0,3,3,0.16,2,0,2009-2010,7.0
Joona,Koivu,1,Ässät U16,21,0,3,3,0.14,6,0,2009-2010,7.0
Joonas,Etelävuori,0,Kiekko-Vantaa U16,25,0,3,3,0.12,14,0,2009-2010,12.0
Henry,Roihu,0,HPK U16,30,0,3,3,0.10,44,0,2009-2010,10.0
Jan,Petäjäkangas,1,Kärpät U16,6,1,1,2,0.33,33,0,2009-2010,6.0
Markus,Merelä,1,Jokerit U16,9,1,1,2,0.22,0,0,2009-2010,3.0
Mika,Kerman,1,Jokerit U16,18,1,1,2,0.11,8,0,2009-2010,3.0
Valtteri,Salo,0,Lukko U16,19,1,1,2,0.11,20,0,2009-2010,14.0
Juho,Väliaho,0,Blues U16,21,1,1,2,0.10,14,0,2009-2010,5.0
Toni,Jalovaara,1,Jokipojat U16,23,1,1,2,0.09,16,0,2009-2010,13.0
Arto,Putto,0,Jokipojat U16,23,1,1,2,0.09,99,0,2009-2010,13.0
Arttu,Korhonen,0,KalPa U16,24,1,1,2,0.08,2,0,2009-2010,9.0
Santeri,Sormunen,0,Jokerit U16,13,0,2,2,0.15,6,0,2009-2010,3.0
Elias,Klytseroff,0,Kärpät U16,13,0,2,2,0.15,12,0,2009-2010,6.0
Ville,Kivilä,0,HPK U16,15,0,2,2,0.13,4,0,2009-2010,10.0
Joel,Pitkänen,0,JYP U16,17,0,2,2,0.12,6,0,2009-2010,8.0
Jesse,Savolainen,1,KalPa U16,18,0,2,2,0.11,2,0,2009-2010,9.0
Miikka,Ruuskanen,1,Kiekko-Vantaa U16,20,0,2,2,0.10,10,0,2009-2010,12.0
Pasi,Kontkanen,1,Ilves U16,23,0,2,2,0.09,10,0,2009-2010,11.0
Manu,Lahtinen,1,HPK U16,4,1,0,1,0.25,0,0,2009-2010,10.0
Konsta,Puutio,1,Kärpät U16,5,1,0,1,0.20,0,0,2009-2010,6.0
Joakim,Jaulimo,0,HIFK U16,10,1,0,1,0.10,2,0,2009-2010,1.0
Eetu,Tarkiainen,1,KalPa U16,18,1,0,1,0.06,6,0,2009-2010,9.0
Toni-Markus,Korpelin,0,Kiekko-Vantaa U16,26,1,0,1,0.04,22,0,2009-2010,12.0
Jere,Marjamäki,0,Tappara U16,1,0,1,1,1.00,0,0,2009-2010,2.0
Antti,Pesonen,1,Kiekko-Vantaa U16,1,0,1,1,1.00,0,0,2009-2010,12.0
Nemo,Huhta,1,Jokipojat U16,4,0,1,1,0.25,0,0,2009-2010,13.0
Aleksi,Ahlroth,0,Blues U16,5,0,1,1,0.20,8,0,2009-2010,5.0
Roope,Rohamo,0,HPK U16,6,0,1,1,0.17,2,0,2009-2010,10.0
Toni,Ahonen,1,Ilves U16,11,0,1,1,0.09,14,0,2009-2010,11.0
Niko,Korkeamäki,0,Lukko U16,12,0,1,1,0.08,16,0,2009-2010,14.0
Jesper,Ahlgren,1,HPK U16,14,0,1,1,0.07,0,0,2009-2010,10.0
Joonas,Autere,0,HPK U16,17,0,1,1,0.06,10,0,2009-2010,10.0
Tommy,Räsänen,0,Blues U16,21,0,1,1,0.05,26,0,2009-2010,5.0
Aleksi,Lehtonen,1,Lukko U16,22,0,1,1,0.05,0,0,2009-2010,14.0
Harri,Harju,0,Kiekko-Vantaa U16,22,0,1,1,0.05,8,0,2009-2010,12.0
Jesse,Hurme,1,Tappara U16,0,0,0,0,0.00,0,0,2009-2010,2.0
Niko,Lappalainen,1,Jokipojat U16,1,0,0,0,0.00,0,0,2009-2010,13.0
Juho-Perttu,Kyllönen,0,Kärpät U16,1,0,0,0,0.00,0,0,2009-2010,6.0
Teemu,Runsala,1,HIFK U16,1,0,0,0,0.00,0,0,2009-2010,1.0
Niko,Virta,1,Ilves U16,1,0,0,0,0.00,0,0,2009-2010,11.0
Henrik,Vesalainen,0,HIFK U16,1,0,0,0,0.00,0,0,2009-2010,1.0
Jere-Petteri,Löytökorpi,0,Lukko U16,1,0,0,0,0.00,0,0,2009-2010,14.0
Jesse,Koivisto,1,JYP U16,1,0,0,0,0.00,0,0,2009-2010,8.0
Juuso,Talvio,0,HIFK U16,1,0,0,0,0.00,0,0,2009-2010,1.0
Tony,Paasonen,1,HIFK U16,1,0,0,0,0.00,0,0,2009-2010,1.0
Jalmari,Meriluoto,0,Lukko U16,1,0,0,0,0.00,2,0,2009-2010,14.0
Emppu,Hokkanen,0,KalPa U16,1,0,0,0,0.00,2,0,2009-2010,9.0
Jani,Keturi,0,JYP U16,1,0,0,0,0.00,2,0,2009-2010,8.0
Joonas,Väyrynen,0,Jokipojat U16,2,0,0,0,0.00,8,0,2009-2010,13.0
Jarko,Joska,1,JYP U16,3,0,0,0,0.00,0,0,2009-2010,8.0
Petteri,Grönthal,1,Kiekko-Vantaa U16,4,0,0,0,0.00,0,0,2009-2010,12.0
Henri,Keskilohko,1,Ässät U16,4,0,0,0,0.00,0,0,2009-2010,7.0
Miro,Hirvonen,0,HPK U16,4,0,0,0,0.00,0,0,2009-2010,10.0
Ville,Alasaari,1,Kiekko-Vantaa U16,4,0,0,0,0.00,0,0,2009-2010,12.0
Ville,Keskinen,0,Jokipojat U16,4,0,0,0,0.00,6,0,2009-2010,13.0
Jesse,Lahnaviik,0,Ässät U16,5,0,0,0,0.00,0,0,2009-2010,7.0
Teemu,Tommila,0,Jokerit U16,7,0,0,0,0.00,6,0,2009-2010,3.0
Jere,Pellikka,0,Kärpät U16,8,0,0,0,0.00,12,0,2009-2010,6.0
Aleksi,Pölkki,0,JYP U16,10,0,0,0,0.00,4,0,2009-2010,8.0
Aki,Leinonen,0,Jokipojat U16,12,0,0,0,0.00,18,0,2009-2010,13.0
Santeri,Siven,0,KalPa U16,14,0,0,0,0.00,0,0,2009-2010,9.0
Tommi,Kantelinen,1,HPK U16,14,0,0,0,0.00,2,0,2009-2010,10.0
Erik,Bender,0,Kiekko-Vantaa U16,19,0,0,0,0.00,47,0,2009-2010,12.0
Tuomas,Lehtonen,0,Lukko U16,24,0,0,0,0.00,6,0,2009-2010,14.0
Tuomas,Valde,0,TPS U16,27,0,0,0,0.00,14,0,2009-2010,4.0
Henrik,Haapala,1,Tappara U16,27,15,43,58,2.15,20,1,2009-2010,2.0
Samu,Markkula,1,JYP U16,25,17,38,55,2.20,24,1,2009-2010,8.0
Jonatan,Tanus,1,Tappara U16,25,27,27,54,2.16,22,1,2009-2010,2.0
Rasmus,Kulmala,1,TPS U16,27,22,28,50,1.85,4,1,2009-2010,4.0
Niklas,Salo,1,TPS U16,26,17,30,47,1.81,8,1,2009-2010,4.0
Aleksander,Barkov,1,Tappara U16,25,20,25,45,1.80,6,1,2009-2010,2.0
Topi,Nättinen,1,JYP U16,27,19,26,45,1.67,12,1,2009-2010,8.0
Balázs,Sebök,1,Kärpät U16,27,15,27,42,1.56,22,1,2009-2010,6.0
Mikko,Komulainen,1,KalPa U16,26,22,19,41,1.58,70,1,2009-2010,9.0
Joona,Monto,1,HPK U16,27,15,26,41,1.52,12,1,2009-2010,10.0
Jarno,Kärki,1,Ässät U16,27,12,29,41,1.52,20,1,2009-2010,7.0
Janne,Juutinen,1,HIFK U16,24,17,22,39,1.63,53,1,2009-2010,1.0
Joonas,Huovinen,1,Kärpät U16,24,11,26,37,1.54,16,1,2009-2010,6.0
Ville,Vainikainen,1,KalPa U16,23,25,8,33,1.44,16,1,2009-2010,9.0
Juuso,Ikonen,1,Blues U16,21,15,18,33,1.57,0,1,2009-2010,5.0
Ville,Leskinen,1,Kärpät U16,20,17,13,30,1.50,6,1,2009-2010,6.0
Artturi,Lehkonen,1,TPS U16,14,15,14,29,2.07,20,1,2009-2010,4.0
Aleksi,Mustonen,1,Jokerit U16,24,8,21,29,1.21,6,1,2009-2010,3.0
Joose,Antonen,1,Ilves U16,20,8,20,28,1.40,20,1,2009-2010,11.0
Aleksi,Rutanen,1,Blues U16,25,14,13,27,1.08,10,1,2009-2010,5.0
Sami,Anttila,1,Kärpät U16,15,13,12,25,1.67,2,1,2009-2010,6.0
Saku,Mäenalanen,1,Kärpät U16,27,12,13,25,0.93,32,1,2009-2010,6.0
Jere,Friberg,1,Lukko U16,25,10,15,25,1.00,18,1,2009-2010,14.0
Niklas,Tikkinen,0,Blues U16,12,9,15,24,2.00,6,1,2009-2010,5.0
Casimir,Jürgens,0,HIFK U16,25,3,21,24,0.96,14,1,2009-2010,1.0
Valtteri,Viljanen,0,Ässät U16,22,13,10,23,1.05,45,1,2009-2010,7.0
Valtteri,Parikka,0,HPK U16,25,4,18,22,0.88,46,1,2009-2010,10.0
Esa,Lindell,0,Jokerit U16,26,9,12,21,0.81,16,1,2009-2010,3.0
Mikko,Lehtonen,0,TPS U16,27,5,16,21,0.78,20,1,2009-2010,4.0
Oskari,Siiki,1,TPS U16,27,10,9,19,0.70,6,1,2009-2010,4.0
Felix,Westermarck,1,Blues U16,25,5,14,19,0.76,2,1,2009-2010,5.0
Saku,Kinnunen,0,KalPa U16,25,10,8,18,0.72,18,1,2009-2010,9.0
Matias,Pulli,0,TPS U16,16,8,10,18,1.13,4,1,2009-2010,4.0
Saku,Salminen,1,HIFK U16,7,7,11,18,2.57,26,1,2009-2010,1.0
Markus,Nutivaara,0,Kärpät U16,25,1,17,18,0.72,18,1,2009-2010,6.0
Nico,Friman,1,Jokerit U16,8,8,9,17,2.13,10,1,2009-2010,3.0
Kalle,Moisio,1,TPS U16,14,5,12,17,1.21,55,1,2009-2010,4.0
Alex,Lintuniemi,0,HIFK U16,24,3,14,17,0.71,18,1,2009-2010,1.0
Eetu,Koivistoinen,1,Blues U16,20,9,7,16,0.80,32,1,2009-2010,5.0
Mikko,Vainonen,0,HIFK U16,24,7,9,16,0.67,30,1,2009-2010,1.0
Reko,Tornberg,0,Kärpät U16,24,5,11,16,0.67,6,1,2009-2010,6.0
Juuso,Riikola,0,KalPa U16,27,3,13,16,0.59,36,1,2009-2010,9.0
Victor,Westermarck,0,Blues U16,27,2,14,16,0.59,38,1,2009-2010,5.0
Juuso,Rämö,1,Tappara U16,22,8,7,15,0.68,87,1,2009-2010,2.0
Kasperi,Ojantakanen,1,Jokerit U16,19,7,8,15,0.79,4,1,2009-2010,3.0
Juuso,Vainio,0,HPK U16,25,3,12,15,0.60,53,1,2009-2010,10.0
Niko,Kivelä,1,Jokerit U16,18,10,4,14,0.78,6,1,2009-2010,3.0
Ville,Pokka,0,Kärpät U16,9,5,9,14,1.56,0,1,2009-2010,6.0
Timi,Lahtinen,1,Jokerit U16,19,5,9,14,0.74,2,1,2009-2010,3.0
Teemu,Kaislehto,0,HPK U16,27,5,8,13,0.48,24,1,2009-2010,10.0
Janne,Koponen,0,KalPa U16,24,3,10,13,0.54,12,1,2009-2010,9.0
Sami,Pekkala,1,Kärpät U16,14,9,3,12,0.86,2,1,2009-2010,6.0
Jesse,Paukku,1,Jokipojat U16,8,3,9,12,1.50,46,1,2009-2010,13.0
Santeri,Saari,0,Jokerit U16,24,2,10,12,0.50,18,1,2009-2010,3.0
Kalle,Saramäki,1,JYP U16,25,1,11,12,0.48,30,1,2009-2010,8.0
Henri,Kanninen,1,JYP U16,20,4,7,11,0.55,14,1,2009-2010,8.0
Mikael,Seppälä,0,KalPa U16,25,5,5,10,0.40,34,1,2009-2010,9.0
Eero,Riikonen,1,Jokerit U16,22,2,8,10,0.46,16,1,2009-2010,3.0
Oskari,Lehtinen,1,TPS U16,4,3,6,9,2.25,10,1,2009-2010,4.0
Markus,Kojo,0,Ässät U16,15,3,6,9,0.60,34,1,2009-2010,7.0
Rasmus,Ristolainen,0,TPS U16,5,5,3,8,1.60,4,1,2009-2010,4.0
Miro-Pekka,Saarelainen,1,HIFK U16,4,4,4,8,2.00,4,1,2009-2010,1.0
Jere,Sneck,0,Jokerit U16,19,3,5,8,0.42,18,1,2009-2010,3.0
Mikke,Levo,0,Ilves U16,19,4,3,7,0.37,74,1,2009-2010,11.0
Olli,Vainio,0,Ilves U16,25,3,4,7,0.28,18,1,2009-2010,11.0
Taneli,Siikaluoma,0,Kärpät U16,27,0,7,7,0.26,63,1,2009-2010,6.0
Elmeri,Eronen,0,TPS U16,27,2,3,5,0.19,12,1,2009-2010,4.0
Sameli,Ventelä,0,HPK U16,19,0,5,5,0.26,4,1,2009-2010,10.0
Arttu,Likola,1,JYP U16,19,3,0,3,0.16,8,1,2009-2010,8.0
William,Mäkinen,0,JYP U16,9,1,2,3,0.33,12,1,2009-2010,8.0
Otto,Rauhala,1,Tappara U16,4,0,3,3,0.75,0,1,2009-2010,2.0
Joona,Erving,0,Kärpät U16,17,0,3,3,0.18,16,1,2009-2010,6.0
Teemu,Karjalainen,1,HPK U16,8,1,1,2,0.25,0,1,2009-2010,10.0
Ville,Heponiemi,1,Ilves U16,4,0,2,2,0.50,0,1,2009-2010,11.0
Anton,Fonsén,0,Ässät U16,24,0,2,2,0.08,10,1,2009-2010,7.0
Markus,Haapanen,0,HPK U16,12,1,0,1,0.08,10,1,2009-2010,10.0
Joonas,Lyytinen,0,KalPa U16,2,0,1,1,0.50,2,1,2009-2010,9.0
Teemu,Vuorisalo,0,Ässät U16,2,0,0,0,0.00,2,1,2009-2010,7.0
Atte,Mäkinen,0,Tappara U16,3,0,0,0,0.00,0,1,2009-2010,2.0
Aleksi,Laine,0,Ässät U16,4,0,0,0,0.00,0,1,2009-2010,7.0
Kasperi,Nuto,1,Ässät U16,5,0,0,0,0.00,0,1,2009-2010,7.0
Arttu,Luusuaniemi,1,Kärpät U16,27,35,36,71,2.63,38,0,2010-2011,4.0
Konsta,Puutio,1,Kärpät U16,27,14,26,40,1.48,30,0,2010-2011,4.0
Juho,Virtanen,1,TPS U16,26,12,26,38,1.46,12,0,2010-2011,5.0
Atte,Antinaho,1,JYP U16,27,17,18,35,1.30,10,0,2010-2011,7.0
Juuso,Tani,1,Ässät U16,25,15,18,33,1.32,10,0,2010-2011,6.0
Tomi,Runtti,1,Kärpät U16,24,11,20,31,1.29,16,0,2010-2011,4.0
Samuli,Kanerva,1,TPS U16,19,9,21,30,1.58,35,0,2010-2011,5.0
Miska,Alakoski,1,HPK U16,27,16,13,29,1.07,26,0,2010-2011,8.0
Jaakko,Alasaarela,1,Kärpät U16,24,12,17,29,1.21,104,0,2010-2011,4.0
Aku,Palsola,0,JYP U16,26,10,19,29,1.12,20,0,2010-2011,7.0
Jonne,Yliniemi,1,Pelicans U16,23,15,13,28,1.22,32,0,2010-2011,12.0
Christian,Wallin,1,TPS U16,25,10,18,28,1.12,6,0,2010-2011,5.0
Leo-Topias,Heinonen,1,TPS U16,26,12,15,27,1.04,26,0,2010-2011,5.0
Joni,Lavonen,1,Ilves U16,25,8,19,27,1.08,20,0,2010-2011,9.0
Henri,Keskilohko,1,Ässät U16,23,10,15,25,1.09,10,0,2010-2011,6.0
Eetu,Määttä,1,Kärpät U16,18,9,16,25,1.39,14,0,2010-2011,4.0
Jesperi,Viikilä,1,Pelicans U16,27,3,22,25,0.93,12,0,2010-2011,12.0
Alex,Olkinuora,1,Tappara U16,26,8,16,24,0.92,12,0,2010-2011,1.0
Jeffrey,Lawman,1,Lukko U16,23,14,9,23,1.00,42,0,2010-2011,13.0
Oscar,Leppänen,1,Jokerit U16,20,13,10,23,1.15,22,0,2010-2011,3.0
Juho,Jokiharju,1,Tappara U16,21,11,11,22,1.05,0,0,2010-2011,1.0
Miikka,Virta,1,Jokerit U16,19,9,13,22,1.16,10,0,2010-2011,3.0
Kristian,Tyyskä,1,Ketterä U16,26,8,14,22,0.85,14,0,2010-2011,14.0
Aleksi,Kavanen,1,HIFK U16,22,7,15,22,1.00,16,0,2010-2011,10.0
Jaakko,Hälli,0,Tappara U16,27,11,10,21,0.78,24,0,2010-2011,1.0
Topias,Olli,1,KalPa U16,24,9,12,21,0.88,38,0,2010-2011,11.0
Jani,Elgbacka,0,HIFK U16,20,6,15,21,1.05,105,0,2010-2011,10.0
Henrik,Appel,1,Kärpät U16,23,11,9,20,0.87,14,0,2010-2011,4.0
Niki,Kolehmainen,1,HIFK U16,26,9,11,20,0.77,2,0,2010-2011,10.0
Saku,Viskari,1,Ketterä U16,23,8,12,20,0.87,26,0,2010-2011,14.0
Arttu,Seppänen,1,HPK U16,25,13,6,19,0.76,73,0,2010-2011,8.0
Eelis,Tupasela,1,Pelicans U16,27,10,9,19,0.70,4,0,2010-2011,12.0
Arttu,Pappila,1,Blues U16,20,7,12,19,0.95,18,0,2010-2011,2.0
Jere,Marjamäki,0,Tappara U16,25,6,13,19,0.76,24,0,2010-2011,1.0
Jesse,Haapsaari,1,Tappara U16,23,5,14,19,0.83,32,0,2010-2011,1.0
Jere,Lönnqvist,1,HIFK U16,22,14,4,18,0.82,42,0,2010-2011,10.0
Matias,Vilander,1,TPS U16,21,10,8,18,0.86,51,0,2010-2011,5.0
Juuso,Leppänen,1,Ketterä U16,23,9,9,18,0.78,18,0,2010-2011,14.0
Ossi,Siipola,1,HIFK U16,25,8,10,18,0.72,6,0,2010-2011,10.0
Olli,Kalliomaa,1,Jokerit U16,25,4,14,18,0.72,6,0,2010-2011,3.0
Aapeli,Pienimaa,1,JYP U16,23,12,5,17,0.74,4,0,2010-2011,7.0
Jonatan,Lanu,1,Pelicans U16,24,11,6,17,0.71,12,0,2010-2011,12.0
Alex,Vanhala,0,JYP U16,26,8,9,17,0.65,56,0,2010-2011,7.0
Joonas,Alasaarela,1,Kärpät U16,23,6,11,17,0.74,36,0,2010-2011,4.0
Teemu,Paasonen,1,KalPa U16,23,6,11,17,0.74,42,0,2010-2011,11.0
Santtu,Nurmi,1,Ketterä U16,20,11,5,16,0.80,12,0,2010-2011,14.0
Walter,Malmberg,1,Blues U16,23,11,5,16,0.70,30,0,2010-2011,2.0
Vili-Jesper,Koivula,1,Ilves U16,27,8,8,16,0.59,24,0,2010-2011,9.0
Miika,Laine,1,Tappara U16,24,7,9,16,0.67,22,0,2010-2011,1.0
Lasse,Salonkari,1,JYP U16,26,5,11,16,0.62,12,0,2010-2011,7.0
Oskari,Saarimäki,1,KalPa U16,22,13,2,15,0.68,16,0,2010-2011,11.0
Jere,Lifländer,1,Ketterä U16,11,7,8,15,1.36,4,0,2010-2011,14.0
Veeti,Wahlsten,1,HIFK U16,27,7,8,15,0.56,4,0,2010-2011,10.0
Juuso,Karjalainen,1,KalPa U16,25,5,10,15,0.60,12,0,2010-2011,11.0
Heikki,Tyni,1,HPK U16,27,4,11,15,0.56,12,0,2010-2011,8.0
Robin,Naapila,0,Jokerit U16,25,3,12,15,0.60,58,0,2010-2011,3.0
Samuel,Sikstus,0,Blues U16,27,3,12,15,0.56,16,0,2010-2011,2.0
Jesse,Koivisto,1,JYP U16,27,4,10,14,0.52,14,0,2010-2011,7.0
Robin,Kokkonen,1,Ilves U16,11,12,1,13,1.18,53,0,2010-2011,9.0
Joakim,Smedroos,1,Ässät U16,20,8,5,13,0.65,10,0,2010-2011,6.0
Jeremi,Mero,1,Jokerit U16,21,7,6,13,0.62,8,0,2010-2011,3.0
Anton,Heikkilä,1,Jokerit U16,22,6,7,13,0.59,0,0,2010-2011,3.0
Ville,Kivilä,0,HPK U16,27,3,10,13,0.48,16,0,2010-2011,8.0
Manu,Lahtinen,1,HPK U16,26,8,4,12,0.46,2,0,2010-2011,8.0
Tuomas,Hovi,1,Lukko U16,26,8,4,12,0.46,4,0,2010-2011,13.0
